job_role,industry,automation_risk_pct,risk_level,automation_exposure_pct,task_repetition_pct,creativity_requirement_pct,physical_labor_pct,analytical_complexity_pct,social_interaction_pct,avg_salary_usd,experience_required_years,education_level,job_demand_index,job_growth_rate,skill_complexity_score,training_hours_needed,ai_dependency_current,ai_dependency_future,ai_tool_availability
Graphic Designer,Manufacturing,74.55,High,52.78,54.79,34.25,38.04,65.5,25.88,79768,0,Master,0.3054,-0.0925,0.2361,317,0.3793,0.3961,Gemini
UX Designer,Retail,41.94,Medium,4.72,2.4,7.68,5.65,6.11,74.87,78128,11,Master,0.0105,-0.0725,0.0374,21,0.6121,0.6713,Claude
Product Manager,Education,56.31,Medium,62.62,76.42,39.29,67.77,43.67,16.4,113123,6,High School,0.1655,0.0084,0.4723,55,0.9262,0.6653,Claude
Plumber,Education,80.12,High,60.74,58.09,66.99,32.82,91.31,84.66,138255,2,Bachelor,0.7247,0.0077,0.3824,146,0.891,0.309,Claude
Doctor,Marketing,25.31,Low,62.82,62.56,46.99,46.78,79.13,13.19,33174,5,Bachelor,0.0044,0.1431,0.8359,310,0.1697,0.189,AutoGPT
Graphic Designer,Tech,41.29,Medium,34.63,5.17,38.37,68.17,30.54,3.52,147769,6,Bachelor,0.5231,0.0165,0.6819,301,0.6105,0.1313,Midjourney
Civil Engineer,Healthcare,72.96,High,68.25,21.1,11.92,91.18,92.48,39.5,65398,0,Master,0.414,0.0695,0.1443,146,0.098,0.1138,Gemini
Plumber,Manufacturing,91.84,High,40.98,7.43,24.49,82.54,32.96,97.94,165393,0,Bachelor,0.1229,0.0231,0.9872,106,0.2939,0.8177,Claude
Plumber,Education,29.03,Low,27.07,28.89,10.01,45.06,7.25,11.03,153549,12,High School,0.6856,-0.0325,0.7706,433,0.5973,0.2861,Gemini
Accountant,Legal,62.27,Medium,66.98,62.74,80.75,38.78,99.41,10.17,102635,4,Bachelor,0.6931,-0.0736,0.7202,171,0.0814,0.6785,Copilot
Doctor,Finance,95.12,High,55.87,56.62,13.52,23.98,87.0,75.12,53760,5,PhD,0.7263,0.1148,0.2166,97,0.8889,0.2874,Claude
Customer Support,Finance,64.89,Medium,48.35,61.21,59.54,37.24,46.59,31.22,172432,14,High School,0.7653,-0.0618,0.9052,62,0.829,0.6668,Gemini
Software Engineer,Energy,89.28,High,44.22,54.93,34.27,11.1,66.64,71.73,171385,14,Bachelor,0.315,-0.0758,0.4739,118,0.4734,0.9841,Midjourney
Teacher,Healthcare,93.97,High,63.85,27.3,22.6,97.11,67.12,20.0,160674,8,Bachelor,0.9941,-0.0465,0.2977,54,0.4918,0.066,AutoGPT
Sales Manager,Finance,92.93,High,33.76,24.45,63.95,57.39,19.45,46.01,166873,13,High School,0.073,-0.0994,0.6548,391,0.8814,0.6538,None
Software Engineer,Energy,75.85,High,15.5,13.71,45.7,12.78,20.0,26.53,44130,0,Bachelor,0.6477,-0.082,0.2118,362,0.0504,0.2826,Midjourney
Data Analyst,Tech,55.21,Medium,55.72,84.91,40.01,35.28,46.96,45.15,175343,12,Master,0.9708,0.0588,0.9076,170,0.1439,0.0829,Midjourney
Teacher,Education,9.68,Low,69.17,61.65,59.29,54.7,91.16,76.91,177147,3,Bachelor,0.2243,-0.0391,0.8543,294,0.308,0.079,None
Teacher,Education,22.27,Low,24.31,18.65,49.13,53.29,1.0,76.2,137215,9,Master,0.2781,-0.0154,0.4649,431,0.3644,0.3717,Claude
Consultant,Legal,25.58,Low,33.17,17.72,30.35,3.55,78.25,51.58,118095,7,Bachelor,0.576,0.1088,0.1907,313,0.9874,0.5406,Midjourney
Electrician,Retail,3.33,Low,62.71,87.3,55.91,95.08,5.75,92.84,90942,9,High School,0.7813,0.0932,0.4965,470,0.1475,0.6473,AutoGPT
Lawyer,Finance,10.19,Low,49.88,74.27,66.95,27.54,47.82,26.38,173933,8,Master,0.3289,0.0231,0.1491,91,0.3031,0.5675,ChatGPT
Product Manager,Tech,29.48,Low,43.78,65.94,2.67,1.62,63.79,24.03,128970,14,Bachelor,0.8368,0.0532,0.2698,324,0.8279,0.898,AutoGPT
Product Manager,Construction,9.07,Low,39.0,40.69,46.59,7.64,68.68,61.38,112203,12,Bachelor,0.241,-0.0785,0.4827,327,0.7844,0.1535,Copilot
Civil Engineer,Finance,16.95,Low,30.02,26.2,5.77,58.02,5.85,62.13,118177,2,Master,0.8744,0.0904,0.0211,264,0.6548,0.829,AutoGPT
Teacher,Healthcare,5.44,Low,51.19,97.95,18.64,13.78,41.86,4.65,102902,10,Bachelor,0.253,0.029,0.7657,300,0.3286,0.5282,Gemini
UX Designer,Retail,41.65,Medium,47.43,79.72,56.05,4.17,58.38,60.78,122172,1,Master,0.6174,0.0427,0.1969,440,0.1178,0.8606,ChatGPT
Customer Support,Finance,82.13,High,24.92,30.18,86.62,37.96,6.6,37.44,176702,3,High School,0.3578,0.0664,0.8666,324,0.9835,0.4267,Claude
HR Specialist,Tech,81.22,High,53.51,84.76,88.28,62.28,13.51,74.74,50056,1,Bachelor,0.3218,0.025,0.0223,196,0.2514,0.4818,Gemini
Civil Engineer,Finance,90.49,High,51.15,75.89,6.99,11.18,66.36,80.81,168454,0,High School,0.354,0.0304,0.5321,395,0.8446,0.4223,None
